passenger_group,HomePlanet,CryoSleep,Destination,VIP,deck,side,number,PassengerId
6091,Earth,False,TRAPPIST-1e,False,F,P,1260.0,1
6109,Europa,False,TRAPPIST-1e,False,C,P,187.0,1
6109,Europa,True,TRAPPIST-1e,False,C,P,187.0,1
6110,Earth,False,55 Cancri e,False,E,P,389.0,1
6143,Earth,False,TRAPPIST-1e,False,F,S,1175.0,1
6141,Earth,False,PSO J318.5-22,False,F,S,1174.0,1
6138,Mars,False,TRAPPIST-1e,False,E,S,406.0,1
6137,Earth,False,TRAPPIST-1e,False,F,S,1173.0,1
6136,Earth,False,TRAPPIST-1e,False,F,S,1172.0,1
6135,Earth,False,TRAPPIST-1e,False,F,P,1272.0,1
6133,Earth,True,PSO J318.5-22,False,G,S,993.0,1
6132,Mars,True,TRAPPIST-1e,False,F,S,1170.0,1
6130,Europa,False,55 Cancri e,True,C,P,189.0,1
6128,Earth,True,TRAPPIST-1e,False,G,P,992.0,1
6128,Earth,False,TRAPPIST-1e,False,F,P,1270.0,1
6127,Europa,False,TRAPPIST-1e,False,E,S,404.0,1
6126,Europa,True,55 Cancri e,False,C,P,188.0,1
6124,Earth,False,PSO J318.5-22,False,G,P,991.0,1
6123,Mars,True,TRAPPIST-1e,False,F,P,1268.0,1
6122,Earth,False,55 Cancri e,False,F,P,1267.0,1
6120,Earth,False,PSO J318.5-22,False,F,S,1169.0,1
6118,Mars,True,TRAPPIST-1e,False,E,P,391.0,1
6118,Mars,False,55 Cancri e,False,F,P,1266.0,1
6117,Europa,False,TRAPPIST-1e,False,B,S,234.0,1
6116,Mars,False,TRAPPIST-1e,False,F,S,1167.0,1
6115,Mars,False,TRAPPIST-1e,False,E,P,390.0,1
6112,Mars,True,TRAPPIST-1e,False,F,P,1264.0,1
6111,Europa,True,TRAPPIST-1e,False,A,P,58.0,1
6111,Europa,True,55 Cancri e,False,A,P,58.0,1
5938,Earth,True,TRAPPIST-1e,False,G,S,967.0,1
6228,Earth,False,TRAPPIST-1e,False,G,S,1007.0,1
5938,Earth,False,55 Cancri e,False,E,S,384.0,1
5933,Mars,False,TRAPPIST-1e,False,F,S,1131.0,1
5744,Earth,False,TRAPPIST-1e,False,G,S,931.0,1
5742,Earth,False,55 Cancri e,False,F,S,1096.0,1
5740,Europa,False,TRAPPIST-1e,False,A,P,52.0,1
5740,Europa,False,55 Cancri e,False,A,P,52.0,1
5739,Earth,True,TRAPPIST-1e,False,G,S,930.0,1
5738,Earth,True,TRAPPIST-1e,False,G,S,929.0,1
5736,Earth,False,TRAPPIST-1e,False,F,P,1189.0,1
5735,Earth,True,TRAPPIST-1e,False,E,P,362.0,1
5733,Earth,False,TRAPPIST-1e,False,F,P,1188.0,1
5733,Earth,False,55 Cancri e,False,G,P,922.0,1
5732,Earth,False,TRAPPIST-1e,False,G,P,921.0,1
5746,Earth,False,TRAPPIST-1e,False,G,S,932.0,1
5730,Earth,False,TRAPPIST-1e,False,F,P,1187.0,1
5728,Earth,False,TRAPPIST-1e,False,F,P,1185.0,1
5727,Earth,False,55 Cancri e,False,G,P,920.0,1
5726,Europa,True,55 Cancri e,False,B,P,192.0,1
5725,Earth,False,TRAPPIST-1e,False,F,S,1094.0,1
5724,Earth,True,PSO J318.5-22,False,G,P,919.0,1
5723,Mars,True,TRAPPIST-1e,False,E,S,372.0,1
5722,Earth,False,TRAPPIST-1e,False,G,S,928.0,1
5721,Europa,True,TRAPPIST-1e,False,B,S,219.0,1
5721,Europa,False,TRAPPIST-1e,False,B,S,219.0,1
5719,Earth,True,TRAPPIST-1e,False,G,P,918.0,1
5719,Earth,False,TRAPPIST-1e,False,G,P,918.0,1
5729,Mars,True,TRAPPIST-1e,False,F,P,1186.0,1
5718,Earth,True,TRAPPIST-1e,False,G,S,927.0,1
5747,Earth,False,TRAPPIST-1e,False,F,P,1192.0,1
5750,Earth,False,TRAPPIST-1e,False,E,P,363.0,1
5783,Earth,False,55 Cancri e,False,F,P,1201.0,1
5781,Earth,False,55 Cancri e,False,F,P,1200.0,1
5780,Europa,True,TRAPPIST-1e,False,B,P,195.0,1
5780,Europa,True,55 Cancri e,False,B,P,195.0,1
5780,Europa,False,TRAPPIST-1e,False,B,P,195.0,1
5779,Earth,False,TRAPPIST-1e,False,G,S,938.0,1
5778,Earth,False,TRAPPIST-1e,False,G,P,926.0,1
5777,Earth,False,PSO J318.5-22,False,F,P,1199.0,1
5776,Earth,False,TRAPPIST-1e,False,F,S,1102.0,1
5773,Europa,True,55 Cancri e,False,C,S,217.0,1
5772,Mars,False,55 Cancri e,False,F,P,1197.0,1
5748,Europa,False,TRAPPIST-1e,True,A,P,53.0,1
5771,Earth,False,TRAPPIST-1e,False,G,S,937.0,1
5769,Europa,True,55 Cancri e,False,B,P,194.0,1
5768,Europa,True,TRAPPIST-1e,False,B,P,193.0,1
5768,Europa,True,55 Cancri e,False,B,P,193.0,1
5767,Earth,True,PSO J318.5-22,False,G,S,936.0,1
5765,Europa,False,TRAPPIST-1e,False,C,P,181.0,1
5764,Earth,False,TRAPPIST-1e,False,F,S,1100.0,1
5761,Europa,True,TRAPPIST-1e,False,B,S,220.0,1
5758,Earth,True,TRAPPIST-1e,False,G,S,934.0,1
5757,Earth,False,TRAPPIST-1e,False,F,P,1195.0,1
5756,Earth,True,TRAPPIST-1e,False,F,P,1194.0,1
5755,Earth,False,TRAPPIST-1e,False,G,S,933.0,1
5769,Europa,True,TRAPPIST-1e,False,B,P,194.0,1
5785,Earth,False,PSO J318.5-22,False,F,S,1104.0,1
5717,Earth,False,TRAPPIST-1e,False,G,P,917.0,1
5713,Earth,False,TRAPPIST-1e,False,G,P,915.0,1
5679,Earth,True,55 Cancri e,False,G,S,920.0,1
5677,Mars,False,TRAPPIST-1e,False,E,P,357.0,1
5674,Europa,False,TRAPPIST-1e,False,B,S,217.0,1
5673,Earth,False,TRAPPIST-1e,False,F,S,1083.0,1
5671,Earth,False,TRAPPIST-1e,False,G,P,907.0,1
5667,Earth,False,55 Cancri e,False,G,P,906.0,1
5663,Europa,False,TRAPPIST-1e,False,A,S,71.0,1
5662,Earth,True,TRAPPIST-1e,False,G,S,916.0,1
5662,Earth,False,TRAPPIST-1e,False,F,S,1080.0,1
5661,Earth,True,55 Cancri e,False,G,P,905.0,1
5661,Earth,False,PSO J318.5-22,False,E,P,355.0,1
5679,Earth,True,PSO J318.5-22,False,G,S,920.0,1
5659,Earth,False,TRAPPIST-1e,False,F,P,1175.0,1
5653,Earth,True,TRAPPIST-1e,False,G,P,903.0,1
5652,Earth,False,TRAPPIST-1e,False,F,P,1171.0,1
5651,Earth,False,PSO J318.5-22,False,G,S,915.0,1
5650,Earth,False,TRAPPIST-1e,False,G,P,902.0,1
5647,Europa,True,TRAPPIST-1e,False,C,P,178.0,1
5647,Europa,False,TRAPPIST-1e,False,C,P,178.0,1
5647,Europa,False,55 Cancri e,False,C,P,178.0,1
5645,Earth,False,TRAPPIST-1e,False,F,S,1078.0,1
5644,Mars,False,TRAPPIST-1e,False,F,P,1169.0,1
5642,Europa,True,TRAPPIST-1e,False,B,S,216.0,1
5640,Europa,True,TRAPPIST-1e,False,E,S,368.0,1
5655,Earth,False,PSO J318.5-22,False,F,P,1172.0,1
5716,Earth,False,PSO J318.5-22,False,F,S,1093.0,1
5679,Earth,True,TRAPPIST-1e,False,G,S,920.0,1
5681,Earth,True,TRAPPIST-1e,False,G,S,921.0,1
5712,Europa,True,TRAPPIST-1e,False,E,S,371.0,1
5711,Earth,False,TRAPPIST-1e,False,F,P,1183.0,1
5710,Earth,False,TRAPPIST-1e,False,F,S,1092.0,1
5709,Europa,False,TRAPPIST-1e,False,C,S,215.0,1
5707,Earth,False,TRAPPIST-1e,False,F,S,1091.0,1
5706,Earth,False,TRAPPIST-1e,False,G,S,926.0,1
5706,Earth,False,TRAPPIST-1e,False,F,S,1090.0,1
5705,Earth,True,TRAPPIST-1e,False,G,S,925.0,1
5704,Earth,True,TRAPPIST-1e,False,G,P,913.0,1
5702,Earth,True,55 Cancri e,False,G,P,912.0,1
5701,Mars,True,TRAPPIST-1e,False,D,S,173.0,1
5680,Earth,False,TRAPPIST-1e,False,E,P,359.0,1
5700,Earth,True,TRAPPIST-1e,False,G,S,924.0,1
5696,Earth,True,PSO J318.5-22,False,G,P,911.0,1
5695,Earth,True,TRAPPIST-1e,False,G,S,922.0,1
5693,Earth,False,TRAPPIST-1e,False,F,S,1087.0,1
5692,Mars,False,TRAPPIST-1e,False,E,P,360.0,1
5689,Earth,False,TRAPPIST-1e,False,F,P,1180.0,1
5688,Earth,False,TRAPPIST-1e,False,F,S,1084.0,1
5687,Earth,False,TRAPPIST-1e,False,F,P,1179.0,1
5686,Mars,False,55 Cancri e,False,D,P,180.0,1
5685,Earth,True,TRAPPIST-1e,False,G,P,910.0,1
5684,Europa,True,55 Cancri e,False,B,S,218.0,1
5684,Europa,False,55 Cancri e,False,B,S,218.0,1
5698,Earth,False,TRAPPIST-1e,False,F,S,1088.0,1
5786,Earth,False,PSO J318.5-22,False,G,P,928.0,1
5788,Mars,False,TRAPPIST-1e,False,F,S,1105.0,1
5790,Europa,False,TRAPPIST-1e,False,C,S,218.0,1
5894,Earth,True,PSO J318.5-22,False,G,S,957.0,1
5891,Earth,True,PSO J318.5-22,False,G,P,955.0,1
5890,Earth,True,TRAPPIST-1e,False,G,S,955.0,1
5889,Earth,False,TRAPPIST-1e,False,G,P,954.0,1
5888,Mars,False,TRAPPIST-1e,False,F,P,1218.0,1
5888,Mars,False,55 Cancri e,False,F,P,1218.0,1
5887,Earth,False,TRAPPIST-1e,False,F,P,1217.0,1
5887,Earth,False,PSO J318.5-22,False,E,P,374.0,1
5886,Mars,True,TRAPPIST-1e,False,E,P,373.0,1
5886,Mars,False,TRAPPIST-1e,False,F,P,1216.0,1
5885,Earth,True,55 Cancri e,False,G,S,954.0,1
5898,Earth,True,55 Cancri e,False,G,S,958.0,1
5882,Earth,False,TRAPPIST-1e,False,F,P,1214.0,1
5879,Mars,True,TRAPPIST-1e,False,F,S,1122.0,1
5878,Europa,True,55 Cancri e,False,B,S,224.0,1
5877,Earth,False,TRAPPIST-1e,False,F,S,1121.0,1
5876,Mars,True,TRAPPIST-1e,False,F,P,1213.0,1
5876,Mars,True,55 Cancri e,False,F,P,1213.0,1
5876,Mars,False,TRAPPIST-1e,False,D,P,184.0,1
5875,Earth,False,TRAPPIST-1e,False,E,S,381.0,1
5874,Earth,True,PSO J318.5-22,False,G,S,953.0,1
5871,Earth,False,55 Cancri e,False,F,S,1120.0,1
5869,Earth,True,55 Cancri e,False,G,S,952.0,1
5868,Earth,False,TRAPPIST-1e,False,E,S,379.0,1
5880,Earth,True,TRAPPIST-1e,False,G,P,953.0,1
5867,Earth,False,TRAPPIST-1e,False,F,P,1212.0,1
5901,Earth,False,55 Cancri e,False,F,P,1221.0,1
5903,Earth,False,TRAPPIST-1e,False,E,P,376.0,1
5931,Europa,False,55 Cancri e,False,A,P,56.0,1
5930,Europa,False,TRAPPIST-1e,False,B,S,227.0,1
5928,Earth,False,TRAPPIST-1e,False,E,P,377.0,1
5927,Europa,True,TRAPPIST-1e,False,B,P,201.0,1
5927,Europa,True,55 Cancri e,False,B,P,201.0,1
5927,Europa,False,TRAPPIST-1e,False,B,P,201.0,1
5924,Earth,False,TRAPPIST-1e,False,F,P,1225.0,1
5923,Mars,True,55 Cancri e,False,F,S,1129.0,1
5922,Earth,False,TRAPPIST-1e,False,G,P,960.0,1
5921,Earth,True,TRAPPIST-1e,False,G,P,959.0,1
5921,Earth,False,TRAPPIST-1e,False,F,P,1224.0,1
5902,Mars,False,PSO J318.5-22,False,D,S,177.0,1
5920,Earth,False,TRAPPIST-1e,False,F,P,1223.0,1
5916,Earth,False,TRAPPIST-1e,False,E,S,383.0,1
5915,Earth,False,TRAPPIST-1e,False,E,S,382.0,1
5913,Europa,False,TRAPPIST-1e,False,D,P,185.0,1
5912,Earth,True,TRAPPIST-1e,False,G,S,963.0,1
5909,Earth,True,TRAPPIST-1e,False,G,S,961.0,1
5909,Earth,True,55 Cancri e,False,G,S,961.0,1
5909,Earth,False,55 Cancri e,False,F,S,1127.0,1
5908,Earth,False,TRAPPIST-1e,False,F,S,1126.0,1
5907,Earth,True,PSO J318.5-22,False,G,S,960.0,1
5906,Earth,False,TRAPPIST-1e,False,G,P,957.0,1
5905,Earth,False,TRAPPIST-1e,False,G,S,959.0,1
5919,Europa,False,55 Cancri e,False,A,P,55.0,1
5863,Earth,False,TRAPPIST-1e,False,F,P,1210.0,1
5863,Earth,False,55 Cancri e,False,G,P,950.0,1
5861,Earth,False,TRAPPIST-1e,False,G,S,949.0,1
5822,Earth,True,TRAPPIST-1e,False,G,P,939.0,1
5821,Europa,False,55 Cancri e,False,C,P,183.0,1
5820,Earth,False,TRAPPIST-1e,False,F,S,1112.0,1
5819,Europa,True,TRAPPIST-1e,False,B,S,221.0,1
5818,Earth,False,TRAPPIST-1e,False,G,P,938.0,1
5817,Mars,True,TRAPPIST-1e,False,F,S,1111.0,1
5816,Earth,False,TRAPPIST-1e,False,G,P,937.0,1
5813,Earth,True,TRAPPIST-1e,False,G,P,936.0,1
5812,Earth,True,55 Cancri e,False,G,S,943.0,1
5812,Earth,False,TRAPPIST-1e,False,G,S,943.0,1
5810,Earth,True,TRAPPIST-1e,False,G,P,935.0,1
5823,Earth,True,55 Cancri e,False,G,S,944.0,1
5810,Earth,False,TRAPPIST-1e,False,E,P,366.0,1
5806,Earth,False,TRAPPIST-1e,False,F,S,1109.0,1
5804,Earth,True,TRAPPIST-1e,False,G,P,933.0,1
5802,Mars,False,TRAPPIST-1e,False,D,S,175.0,1
5800,Earth,False,TRAPPIST-1e,False,F,P,1203.0,1
5799,Earth,True,55 Cancri e,False,F,S,1108.0,1
5796,Mars,False,TRAPPIST-1e,False,F,S,1107.0,1
5795,Earth,False,PSO J318.5-22,False,F,S,1106.0,1
5794,Europa,False,TRAPPIST-1e,False,D,P,182.0,1
5793,Europa,True,55 Cancri e,False,E,S,375.0,1
5792,Europa,False,55 Cancri e,False,B,P,196.0,1
5791,Earth,False,TRAPPIST-1e,False,G,S,941.0,1
5808,Earth,False,TRAPPIST-1e,False,G,P,934.0,1
5824,Earth,True,55 Cancri e,False,G,P,940.0,1
5825,Europa,False,TRAPPIST-1e,False,B,P,198.0,1
5826,Earth,True,55 Cancri e,False,E,P,367.0,1
5860,Mars,True,TRAPPIST-1e,False,F,S,1118.0,1
5859,Earth,False,TRAPPIST-1e,False,E,P,371.0,1
5858,Earth,False,55 Cancri e,False,G,S,948.0,1
5857,Europa,False,TRAPPIST-1e,False,E,S,378.0,1
5856,Europa,True,TRAPPIST-1e,False,B,P,199.0,1
5856,Europa,True,55 Cancri e,False,B,P,199.0,1
5855,Earth,False,TRAPPIST-1e,False,F,P,1209.0,1
5855,Earth,False,PSO J318.5-22,False,G,P,949.0,1
5854,Earth,False,TRAPPIST-1e,False,F,S,1117.0,1
5852,Earth,False,TRAPPIST-1e,False,E,P,370.0,1
5849,Earth,False,TRAPPIST-1e,False,F,P,1208.0,1
5848,Earth,False,TRAPPIST-1e,False,E,S,377.0,1
5847,Earth,False,TRAPPIST-1e,False,F,S,1115.0,1
5846,Mars,False,TRAPPIST-1e,True,E,S,376.0,1
5844,Earth,False,55 Cancri e,False,E,P,369.0,1
5843,Earth,True,TRAPPIST-1e,False,G,S,947.0,1
5840,Earth,True,TRAPPIST-1e,False,G,P,946.0,1
5839,Europa,True,TRAPPIST-1e,False,C,S,219.0,1
