passenger_group,HomePlanet,PassengerId,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,deck,number,side,num_group,total_spend
0167,Mars,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0169,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0170,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0171,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0172,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0173,Earth,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0174,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0177,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0178,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0179,Earth,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0181,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0182,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0183,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0186,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0188,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0189,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0190,Earth,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0192,Earth,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0193,Mars,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
0195,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0196,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0197,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0198,Earth,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0199,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0200,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0201,Europa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0202,Europa,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2
0203,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0205,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0206,Europa,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0207,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0211,Mars,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0212,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0213,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0216,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0217,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0219,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0220,Earth,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7
0221,Mars,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
0222,Mars,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0223,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0224,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0225,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0229,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0231,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0232,Earth,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0233,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0234,Earth,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0237,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0239,Mars,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0240,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0241,Europa,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0243,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0244,Mars,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2
0245,Europa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0246,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0248,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0250,Earth,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0251,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0252,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0253,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0254,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0255,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0257,Mars,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
0258,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0260,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0261,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0263,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0265,Europa,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0267,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0269,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0270,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0275,Europa,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0277,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0278,Earth,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2
0281,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0282,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0283,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0285,Europa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0286,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0287,Europa,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
0288,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0289,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0290,Europa,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0291,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0294,Europa,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0297,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0298,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0301,Earth,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0302,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0304,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0305,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0306,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0307,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0309,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0310,Europa,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
0313,Earth,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4
0314,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0316,Europa,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2
0320,Earth,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
0322,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0324,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0326,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0327,Earth,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0330,Europa,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
0331,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0333,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0334,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0336,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0337,Mars,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
0338,Earth,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0340,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0341,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0343,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0345,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0346,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0347,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0348,Mars,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
0350,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0352,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0355,Earth,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0356,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0357,Earth,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0358,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0359,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0360,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0361,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0365,Earth,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0368,Mars,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0369,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0370,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0371,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0372,Earth,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0373,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0375,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0376,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0377,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0378,Europa,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
0379,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0380,Europa,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0381,Europa,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
0383,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0384,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0385,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0387,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0388,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0389,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0391,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0392,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0395,Europa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0396,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0397,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0398,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0401,Mars,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0403,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0405,Earth,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0407,Earth,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
0408,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0409,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0410,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0411,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0412,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0413,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0415,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0417,Europa,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0423,Europa,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0425,Mars,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0427,Europa,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0428,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0429,Europa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0430,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0431,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0432,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0433,Europa,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0434,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0435,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0436,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0437,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0438,Europa,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0439,Europa,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0441,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0442,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0444,Mars,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0445,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0446,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0447,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0448,Earth,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
0449,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0452,Mars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0453,Europa,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3
0454,Europa,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0456,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0457,Earth,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0458,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0459,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0460,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0461,Earth,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0462,Earth,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0463,Mars,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
0465,Earth,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
0466,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0468,Earth,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
0470,Mars,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
0471,Europa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0472,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0474,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0475,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0476,Mars,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
0477,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0480,Earth,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0481,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0482,Earth,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0485,Europa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0487,Europa,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0488,Earth,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
0490,Earth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
